City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Bluff,NZ,57.99,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
12,Ushuaia,AR,50.0,scattered clouds,-54.8,-68.3,Albatros Hotel
20,Mataura,NZ,57.99,scattered clouds,-46.19,168.86,Ellie's Villa
36,Coueron,FR,51.01,overcast clouds,47.22,-1.72,ibis budget Nantes Ouest Atlantis Couëron
48,Roma,US,53.6,overcast clouds,43.21,-75.46,Wingate By Wyndham Rome
50,Saldanha,ZA,59.0,clear sky,-33.01,17.94,Blue Bay Lodge
52,San Jeronimo,PE,51.84,light rain,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
85,Warrington,GB,52.0,overcast clouds,53.39,-2.58,Villaggio Hotel
88,Pacifica,US,53.6,broken clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
94,Tournai,BE,53.01,light rain,50.61,3.39,HOTEL CATHEDRALE
136,Ryotsu,JP,55.4,few clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
138,Villazon,BO,50.79,light rain,-22.09,-65.59,La Candelaria
143,Shahr-E Babak,IR,52.02,overcast clouds,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
162,Tuatapere,NZ,57.99,few clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
191,Brae,GB,51.8,light rain,60.4,-1.35,Busta House Hotel
198,Livingston,GB,51.8,scattered clouds,55.9,-3.52,Mercure Livingston Hotel
202,Casablanca,MA,57.2,clear sky,33.59,-7.62,Hotel Moroccan House Casablanca
204,Hami,CN,50.29,clear sky,42.8,93.45,Laoyutang Resort
205,Kruisfontein,ZA,54.0,clear sky,-34.0,24.73,Oyster Bay House Rental
206,Praia Da Vitoria,PT,55.99,scattered clouds,38.73,-27.07,Hotel Branco I
207,Muros,ES,54.0,broken clouds,42.78,-9.06,Apartment Av. Castelao
218,Lebu,CL,51.84,clear sky,-37.62,-73.65,Hostal Las Lilas
231,Northam,GB,51.01,light rain,51.03,-4.22,Durrant House Hotel
234,Hasaki,JP,55.4,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
240,Wilson,US,55.0,overcast clouds,36.15,-86.28,Holiday Inn Express & Suites Lebanon
243,Vrangel,RU,51.42,broken clouds,42.73,133.08,"Отель ""БАЛИ"""
257,Katsuura,JP,55.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
264,Zhaotong,CN,58.08,broken clouds,27.32,103.72,Jingguan Home
269,Shimoda,JP,55.4,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
275,Montepulciano,IT,54.0,scattered clouds,43.1,11.79,Hotel Panoramic Montepulciano
276,Gondar,ET,55.78,clear sky,12.6,37.47,L Shape Hotel
277,Constitucion,CL,52.34,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
283,Roald,NO,53.6,overcast clouds,62.58,6.13,Flem Cabins
288,Liverpool,GB,52.0,overcast clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
291,Najran,SA,59.0,clear sky,17.49,44.13,محمد هادي ال فطيح
298,Faya,SA,57.2,clear sky,18.39,42.45,مقبرة ال مجمل
