City_ID,City,Country,Date,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nanortalik,GL,2020-11-12 04:12:56,60.14,-45.24,clear sky,30.52,81,0,4.25
1,Exeter,GB,2020-11-12 04:13:52,50.72,-3.53,scattered clouds,48.0,90,34,14.9
2,Dingle,PH,2020-11-12 04:15:22,11.0,122.67,light rain,85.42,75,83,14.47
3,Bluff,NZ,2020-11-12 04:12:31,-46.6,168.33,scattered clouds,57.99,79,40,18.99
4,Iqaluit,CA,2020-11-12 04:12:55,63.75,-68.51,light snow,23.0,67,75,5.82
5,Ponta Do Sol,PT,2020-11-12 04:12:38,32.67,-17.1,broken clouds,66.2,72,75,4.7
6,Batemans Bay,AU,2020-11-12 04:15:23,-35.72,150.18,light rain,72.0,66,78,8.99
7,Avarua,CK,2020-11-12 04:10:41,-21.21,-159.78,scattered clouds,77.0,78,31,9.17
8,Puerto Ayora,EC,2020-11-12 04:15:24,-0.74,-90.35,broken clouds,68.0,88,82,4.92
9,Khatanga,RU,2020-11-12 04:15:24,71.97,102.5,scattered clouds,-11.54,91,50,1.34
10,Tarnogskiy Gorodok,RU,2020-11-12 04:15:24,60.5,43.58,overcast clouds,28.51,95,100,8.68
11,Sao Francisco,BR,2020-11-12 04:15:25,-15.95,-44.86,broken clouds,71.94,66,70,4.72
12,Ushuaia,AR,2020-11-12 04:10:44,-54.8,-68.3,scattered clouds,50.0,71,40,13.87
13,Phuket,TH,2020-11-12 04:12:50,8.0,98.25,few clouds,87.01,70,20,6.93
14,Pyay,MM,2020-11-12 04:15:25,18.82,95.22,clear sky,81.72,73,0,9.44
15,Hermanus,ZA,2020-11-12 04:12:34,-34.42,19.23,clear sky,62.01,82,0,5.01
16,Puerto Escondido,MX,2020-11-12 04:15:26,15.85,-97.07,clear sky,78.8,83,5,3.36
17,Grindavik,IS,2020-11-12 04:15:26,63.84,-22.43,overcast clouds,35.6,75,90,13.87
18,Baraboo,US,2020-11-12 04:15:26,43.47,-89.74,clear sky,35.01,86,1,5.82
19,Kapaa,US,2020-11-12 04:15:26,22.08,-159.32,moderate rain,80.6,69,20,20.8
20,Mataura,NZ,2020-11-12 04:15:26,-46.19,168.86,scattered clouds,57.99,79,43,18.01
21,Agua Branca,BR,2020-11-12 04:15:27,-5.89,-42.64,broken clouds,78.19,63,73,4.45
22,Piranhas,BR,2020-11-12 04:15:27,-16.43,-51.82,heavy intensity rain,74.17,74,79,2.19
